id,name,type,rarity,flags_joined,has_show_in_wardrobe,has_override_rarity,details_type,damage_type,weight_class,restrictions_count,icon
24,Worn Scale Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Heavy,0,https://render.guildwars2.com/file/1B9F6D25DCC424192DC3E1375BDFFB02499565FA/61047.png
25,Apprentice Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Light,0,https://render.guildwars2.com/file/09805A08A8D6325CC60AF26F4C3A903534C1B0E5/61349.png
26,Chainmail Shoulders,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Heavy,0,https://render.guildwars2.com/file/D575D5E048D86C1F1D4C049768E699692DD20DB0/61106.png
27,Scallywag Greaves,Armor,Basic,ShowInWardrobe,True,False,Boots,,Heavy,0,https://render.guildwars2.com/file/B1C7DC687A5492E42AF06680931D7635DB022C91/61037.png
28,Swindler Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Medium,0,https://render.guildwars2.com/file/51EBE5BAF9640A9250D90F5DAC1458A9B8F1390D/61051.png
29,Apprentice Shoulders,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Light,0,https://render.guildwars2.com/file/6B1D4B0CCA00DA96257F1364C61023A7A1387A29/61350.png
30,Seer Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Light,0,https://render.guildwars2.com/file/F640924D5B38FAFAF55BDF9496D41266A132A83C/61027.png
31,Swindler Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Medium,0,https://render.guildwars2.com/file/A3000C0865ABF0A071084F0F0D364610C6F0B503/61021.png
32,Rawhide Bracers,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Medium,0,https://render.guildwars2.com/file/A4FDB6CC2F56DC489CB01753B3216294D3D00626/61034.png
33,Scallywag Gauntlets,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Heavy,0,https://render.guildwars2.com/file/71F39428A82C6AE7C79C6620066E0C6947FF5D72/61054.png
34,Magician Legs,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/D4ABE372A4AB0B4A68533ED07CA6A1DBC50F9B76/61089.png
35,Sneakthief Sandals,Armor,Basic,ShowInWardrobe,True,False,Boots,,Medium,0,https://render.guildwars2.com/file/B7D77D6B1735D07F4AB93DE2DED06A1FEBB7F3EE/561550.png
36,Rawhide Shoulders,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Medium,0,https://render.guildwars2.com/file/0D5426EE18FB02513846120FF9F25B4874F74616/218900.png
37,Magician Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/D1BBAB94232E2AD1F1253D573D45C4DCECDF0E02/61018.png
38,Scallywag Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Heavy,0,https://render.guildwars2.com/file/14A85D487B6B77CF13F86D00D55205B3F25E9F32/61076.png
39,Seer Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Light,0,https://render.guildwars2.com/file/DBE75334171A7FF19A6DA42F0C0355913505B92D/61073.png
40,Worn Chain Greaves,Armor,Basic,ShowInWardrobe,True,False,Boots,,Heavy,0,https://render.guildwars2.com/file/044D675DA29AFB786E32612D6B9141CA08D1EFEA/61009.png
41,Reinforced Scale Legs,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Heavy,0,https://render.guildwars2.com/file/CE2E65CBB56F1CC37E6FC2F094612DF60E76E915/61070.png
42,Reinforced Scale Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Heavy,0,https://render.guildwars2.com/file/19F90C0019AF1F763A972B2C01FF424CA63D049C/61048.png
43,Sneakthief Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Medium,0,https://render.guildwars2.com/file/3F385C09CDDF9F5509E4C79F66B1733F186D3D6F/561552.png
44,Privateer Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Medium,0,https://render.guildwars2.com/file/DDC5DC137A135FBA1E080C042C020831C9B6DEB0/61055.png
45,Seer Mantle,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Light,0,https://render.guildwars2.com/file/0F6E6E6F4D0802BD4FBB9425BDBDD476B704D9C8/61092.png
46,Privateer Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Medium,0,https://render.guildwars2.com/file/9E384E500AE801DE793FFB0149BE330BDA542C58/61024.png
47,Sneakthief Shoulderguards,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Medium,0,https://render.guildwars2.com/file/EF97346C5442020AFAAAF016182F0CF00E989703/561551.png
48,Studded Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Medium,0,https://render.guildwars2.com/file/C05DCA62E84D18EF46D5357C217956C55BC3063E/61013.png
49,Cabalist Legs,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/07E903CB9C9437E57770EF42D3484BF1B3740757/61090.png
50,Worn Chain Gauntlets,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Heavy,0,https://render.guildwars2.com/file/E21E356DE0083C4DBE95C0DD0EA13C47DF55C6BA/61053.png
51,Cabalist Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/73CEB0F9515E0627321A15DA1CA4A6F3F51A4CE6/61019.png
52,Worn Chain Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Heavy,0,https://render.guildwars2.com/file/C3081B704F08417A3DE41CED321F69D45797B37F/61077.png
53,Country Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Light,0,https://render.guildwars2.com/file/0CC3CC0819042C9692916BE0132CDB0E2E0325AA/61026.png
54,Banded Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Heavy,0,https://render.guildwars2.com/file/AF109C52710CF3B5640E08B22F28A9D6479453A3/61052.png
55,Banded Legs,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Heavy,0,https://render.guildwars2.com/file/72C01FB63BBDAED3CE40A8BC415B0DDAEC210FDD/61074.png
56,Country Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Light,0,https://render.guildwars2.com/file/C5E6FBE6C802BC12035D38FE0D3216EA2917D930/61072.png
57,Rogue Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Medium,0,https://render.guildwars2.com/file/7FD55648CD1BD8D8C532D06B07A55FBB6467EE9A/61254.png
58,Rogue Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Medium,0,https://render.guildwars2.com/file/47C4A4150DE66A7BA5F8B6520A34D70928E7A166/61251.png
59,Studded Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Medium,0,https://render.guildwars2.com/file/07A941314810F9342BBBE2970450E1FFE2227430/61031.png
60,Swindler Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Medium,0,https://render.guildwars2.com/file/5051DA550F72BC2EC8E2DF0C990DAC25010E163A/61035.png
62,Conjurer Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/CA091F7CA26148B6F66273D7993C68ADEA4AA3F8/61091.png
63,Conjurer Chest,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/76CD08463A05730071D400254141B50E570662D3/61023.png
64,Country Mantle,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Light,0,https://render.guildwars2.com/file/5DA8BA0F9E99A554FB74017361F60DB2053695A6/61093.png
65,Worn Scale Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Heavy,0,https://render.guildwars2.com/file/9CD8B8786A6F047FD375A7E5301A52320AD60ACC/61012.png
66,Worn Scale Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Heavy,0,https://render.guildwars2.com/file/5D13164D1B78F74DB252DFE3E80F9EA3FEA9F569/61078.png
67,Swindler Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Medium,0,https://render.guildwars2.com/file/63400BA1F7ED75D7B720D4ED91F30AA6FF2DD6AB/61028.png
68,Worn Scale Gauntlets,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Heavy,0,https://render.guildwars2.com/file/A732157105CA6F75FB05107DF90BD9BB072DC3CE/61056.png
69,Magician Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Light,0,https://render.guildwars2.com/file/561D59C81D1BAC16DA6AC470C256A7C53566DF5D/61032.png
70,Magician Mantle,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Light,0,https://render.guildwars2.com/file/A4202E6D3A5B0397022FA3B8787A30A4A5A1771F/526098.png
71,Swindler Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Medium,0,https://render.guildwars2.com/file/76C9BF39CCE546F7D33EA6C77E09C44A072D0562/61039.png
72,Reinforced Scale Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Heavy,0,https://render.guildwars2.com/file/D964F8E215690405F4389E259BBD027FE6084632/61080.png
73,Magician Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Light,0,https://render.guildwars2.com/file/74ED02B1E2590EA9311EA7CBCBD7C1B54C5D1314/61075.png
74,Reinforced Scale Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Heavy,0,https://render.guildwars2.com/file/17C9516D0F0B2EBA616ED794C00F59411E931702/61014.png
75,Privateer Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Medium,0,https://render.guildwars2.com/file/AE01341F9C5DC77201C50D2E220D52AC96FCEDFF/61041.png
76,Privateer Shoulders,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Medium,0,https://render.guildwars2.com/file/F2F777D2A57EF6FC1E125BF3DF1F92F24C9DB2C4/61038.png
77,Reinforced Scale Gauntlets,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Heavy,0,https://render.guildwars2.com/file/A13610BD05B1ABA9A804C7C8789F04F8BD51BEE8/61057.png
78,Cabalist Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Light,0,https://render.guildwars2.com/file/D83BD57C170413EC3E5C9CF612CEDE22A606ABDE/61036.png
79,Cabalist Shoulders,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Light,0,https://render.guildwars2.com/file/647347660A570B201E410B97F8970243EEC91628/414916.png
80,Privateer Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Medium,0,https://render.guildwars2.com/file/16670E161F58E8F86BE60ED3F83AA1D6C7210945/61045.png
81,Chainmail Helm,Armor,Basic,ShowInWardrobe,True,False,Helm,,Heavy,0,https://render.guildwars2.com/file/5F7BD5804C9794B507341AC94A5DA59711A4E174/61102.png
82,Cabalist Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Light,0,https://render.guildwars2.com/file/260B7D54F135DE4B1A05E4F105EF51FDD1F09446/61079.png
83,Banded Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Heavy,0,https://render.guildwars2.com/file/51A895071EEE990340F72A7EF5C9A0B422FB0EF9/61081.png
84,Banded Greaves,Armor,Basic,ShowInWardrobe,True,False,Boots,,Heavy,0,https://render.guildwars2.com/file/1A25C9D85BD9429D3E12012F2692175D7B6FE245/61029.png
85,Apprentice Band,Armor,Basic,ShowInWardrobe,True,False,Helm,,Light,0,https://render.guildwars2.com/file/B8A925C49471F215F4AF6057D0B3B0F3BAA7CF19/61351.png
86,Rogue Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Medium,0,https://render.guildwars2.com/file/A90B3C403757375541C2A1E6AAA4D11FE8ED34B1/61255.png
87,Banded Gauntlets,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Heavy,0,https://render.guildwars2.com/file/773BAF03A780FE79E7C262556D08DB4C4717A098/61060.png
88,Conjurer Shoes,Armor,Basic,ShowInWardrobe,True,False,Boots,,Light,0,https://render.guildwars2.com/file/1E4E050554D30302E21164155F653E07D80B9A3D/61042.png
89,Rawhide Mask,Armor,Basic,ShowInWardrobe,True,False,Helm,,Medium,0,https://render.guildwars2.com/file/F804E912B12B14C11309C7B6CB7F0113C4D4270E/218899.png
90,Conjurer Mantle,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Light,0,https://render.guildwars2.com/file/E549B7DB35CCC4B24C0E0915309DF0090D1524CF/61095.png
91,Rogue Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Medium,0,https://render.guildwars2.com/file/5D7809A40C546BCD40420204DFC4A3E6F6B778DD/61252.png
92,Scallywag Helm,Armor,Basic,ShowInWardrobe,True,False,Helm,,Heavy,0,https://render.guildwars2.com/file/021990D72EDC97286192C33973D3A74D4D466BB6/61061.png
93,Conjurer Gloves,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Light,0,https://render.guildwars2.com/file/76276EDA2390224335093F0C48B20AC367CCB997/61082.png
94,Seer Mask,Armor,Basic,ShowInWardrobe,True,False,Helm,,Light,0,https://render.guildwars2.com/file/3F43DAA7D2171B41B6F216804AC321E0B1B9A3AA/61083.png
95,Sneakthief Mask,Armor,Basic,ShowInWardrobe,True,False,Helm,,Medium,0,https://render.guildwars2.com/file/65A0C7367206E6CE4EC7C8CBE07EABAE0191BFBA/561548.png
96,Worn Chain Helm,Armor,Basic,ShowInWardrobe,True,False,Helm,,Heavy,0,https://render.guildwars2.com/file/05E401FDB31A4CC9A16AAB6F1AB01E5014D1435A/61062.png
97,Swindler Mask,Armor,Basic,ShowInWardrobe,True,False,Helm,,Medium,0,https://render.guildwars2.com/file/F1D496205002073C9656A7E6E7550D0041045F0E/61016.png
98,Country Mask,Armor,Basic,ShowInWardrobe,True,False,Helm,,Light,0,https://render.guildwars2.com/file/F1FF6F22DEF0E6121D00ECD42976FB4664E2100E/61084.png
99,Worn Scale Helm,Armor,Basic,ShowInWardrobe,True,False,Helm,,Heavy,0,https://render.guildwars2.com/file/D8E21AB5F2F4FEEBC112E95B5C0C9406F725422E/61063.png
100,Magician Mask,Armor,Basic,ShowInWardrobe,True,False,Helm,,Light,0,https://render.guildwars2.com/file/E06A970CAD5A0FDBA4F49C01B168F5D1D2254419/526097.png
101,Reinforced Scale Helm,Armor,Basic,ShowInWardrobe,True,False,Helm,,Heavy,0,https://render.guildwars2.com/file/6F30FEDA2B1405EEB10426E1200522E29D7C3ECB/61064.png
102,Privateer Hat,Armor,Basic,ShowInWardrobe,True,False,Helm,,Medium,0,https://render.guildwars2.com/file/746AA96A7C3E3136087451094F7D4DC403B526E7/61020.png
103,Cabalist Hood,Armor,Basic,ShowInWardrobe,True,False,Helm,,Light,0,https://render.guildwars2.com/file/16E5686EC33001A0D77FF5D4320EFBCA39130826/61411.png
104,Banded Helm,Armor,Basic,ShowInWardrobe,True,False,Helm,,Heavy,0,https://render.guildwars2.com/file/0AA7D7BCDD5D55B99E162197BF27439BF52EA4AF/61066.png
105,Marauder Mask,Armor,Basic,ShowInWardrobe,True,False,Helm,,Medium,0,https://render.guildwars2.com/file/67FB026D5F927ADF0591F747CCE3662F33E42668/61025.png
106,Conjurer Mask,Armor,Basic,ShowInWardrobe,True,False,Helm,,Light,0,https://render.guildwars2.com/file/E82B0FA123067B625F375D08FB096BDBE65F2E5D/61086.png
107,Illustrious Breastplate,Armor,Basic,ShowInWardrobe,True,False,Coat,,Heavy,0,https://render.guildwars2.com/file/64725E0CEBDA22C75C16B70B0CDE58E4E6E7400A/699218.png
108,Illustrious Tassets,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Heavy,0,https://render.guildwars2.com/file/089C3C370428039590EF055CA33AED03E99E7951/699215.png
109,Illustrious Doublet,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/6E0C12721BAA5E343813DE9F2C7EFE064AECCE0A/699212.png
110,Illustrious Breeches,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/58F7090A0E429EA35DF1C9F36DBD281552CA12F9/699209.png
111,Illustrious Guise,Armor,Basic,ShowInWardrobe,True,False,Coat,,Medium,0,https://render.guildwars2.com/file/957B01535AB96230450BA110704557C9C607054F/699206.png
112,Illustrious Leggings,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Medium,0,https://render.guildwars2.com/file/0D284759AF7E3E9454210A3E7DECF0000B7E5D7F/699203.png
113,Illustrious Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Heavy,0,https://render.guildwars2.com/file/BCF8FD08CF3F4A263704370659D69FEE2EDD0C45/699214.png
114,Illustrious Greaves,Armor,Basic,ShowInWardrobe,True,False,Boots,,Heavy,0,https://render.guildwars2.com/file/DBEE7E93AF2FF0FAEC1CE996F52B949EC872D69C/699219.png
115,Illustrious Footwear,Armor,Basic,ShowInWardrobe,True,False,Boots,,Light,0,https://render.guildwars2.com/file/5C63AF3E5541CBBF54C8656DD8F5E274590BEA52/699213.png
116,Illustrious Warfists,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Heavy,0,https://render.guildwars2.com/file/BD20599D290345BE7D98BD270FBE502CF5212654/699217.png
117,Illustrious Striders,Armor,Basic,ShowInWardrobe,True,False,Boots,,Medium,0,https://render.guildwars2.com/file/33BC7FAC99DD9F5E68DFEAED70AC3145DBA707B0/699207.png
118,Illustrious Wristguards,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Light,0,https://render.guildwars2.com/file/5859B5CF97C0D394CF5CB5B3042775C6E6C1A1EB/699211.png
119,Illustrious Epaulets,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Light,0,https://render.guildwars2.com/file/0C4E1FEED2C75BC8F6F1D3D11C18303EEF573EED/699208.png
120,Illustrious Grips,Armor,Basic,ShowInWardrobe,True,False,Gloves,,Medium,0,https://render.guildwars2.com/file/E3BCBC4053466DEBC50B0B0894996353DE03C749/699205.png
121,Illustrious Shoulderguard,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Medium,0,https://render.guildwars2.com/file/D52D7C621150ADD5AC264256194D9A58B85E447B/699202.png
122,Illustrious Visor,Armor,Basic,ShowInWardrobe,True,False,Helm,,Heavy,0,https://render.guildwars2.com/file/D4FC06FD1B58AF62E771D7747C66F0E8FAAB8054/699216.png
123,Illustrious Masque,Armor,Basic,ShowInWardrobe,True,False,Helm,,Light,0,https://render.guildwars2.com/file/AD7849A39265D6AA1C712ACD476E912E1EC30839/699210.png
124,Illustrious Visage,Armor,Basic,ShowInWardrobe,True,False,Helm,,Medium,0,https://render.guildwars2.com/file/0EBB9F33579CC54CC39F685868FFD79D7A0FEEDC/699204.png
125,Splint Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Heavy,0,https://render.guildwars2.com/file/D7260FB9E8342701BFFCD4482AAE3F06142F28A6/61391.png
126,Splint Legs,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Heavy,0,https://render.guildwars2.com/file/C9EC4503B0C064A303AEBCDDE031A027601BB9D2/61394.png
129,Tempered Scale Chestplate,Armor,Basic,ShowInWardrobe,True,False,Coat,,Heavy,0,https://render.guildwars2.com/file/931252B1EA070F7B627338905D780D6918B5B056/61545.png
130,Tempered Scale Legs,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Heavy,0,https://render.guildwars2.com/file/B5379D04CEA26367C097F402B3406B6B51ADA65D/61548.png
131,Draconic Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Heavy,0,https://render.guildwars2.com/file/E7FC2F5D02DBA0EE089BC615A5D2F1DFCFE6185F/61563.png
132,Draconic Legs,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Heavy,0,https://render.guildwars2.com/file/5B4F503619F5F5C659E961E76E290BAB6F234816/61566.png
133,Splint Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Heavy,0,https://render.guildwars2.com/file/9CF1C1B3E37D02C8FD942365B4944F45ACA6C77D/61395.png
134,Splint Greaves,Armor,Basic,ShowInWardrobe,True,False,Boots,,Heavy,0,https://render.guildwars2.com/file/D742AC43FCCC6C98EBB0560909694E2CFCDC2EBE/61390.png
137,Tempered Scale Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Heavy,0,https://render.guildwars2.com/file/04D2317D7B75E20C95223E72CF6B1A2FE2E55237/61549.png
138,Draconic Pauldrons,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Heavy,0,https://render.guildwars2.com/file/9A1A03AA6818EACB1E63B43F06150925484B200D/61567.png
139,Tempered Scale Greaves,Armor,Basic,ShowInWardrobe,True,False,Boots,,Heavy,0,https://render.guildwars2.com/file/39AD0FFC116EB9190E07E73446484DE8279151E7/61544.png
140,Draconic Boots,Armor,Basic,ShowInWardrobe,True,False,Boots,,Heavy,0,https://render.guildwars2.com/file/ABA5149ABEFE50D5F460E5CF6D50A81D09435091/61562.png
141,Embroidered Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/2F08692A57925DB1FA11C943FB13ADAC40D50DC2/61406.png
142,Embroidered Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/F508C52549644EC1D059FFB558323567D9FE317F/61408.png
143,Student Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/E060CCD39DCAC84B0870359D03DE20E9802DA92E/61110.png
144,Splint Helm,Armor,Basic,ShowInWardrobe,True,False,Helm,,Heavy,0,https://render.guildwars2.com/file/32F81C797D4D1D09A2BF3069B0E11702DC1CAA22/61393.png
145,Student Leggings,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/E5E9B8B5C86603C9A00B05539C47FA15E64F95E7/61116.png
146,Acolyte Coat,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/0E430BC85D287EE957900398A8B3AD4E06562352/61413.png
147,Acolyte Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/313DC61F6E982D1A1F7D53E463B54049FF20F0C8/218935.png
149,Tempered Scale Helm,Armor,Basic,ShowInWardrobe,True,False,Helm,,Heavy,0,https://render.guildwars2.com/file/D6EC020C0C5B41E0D041C9EBC10EF5FF4101E803/61547.png
150,Feathered Pants,Armor,Basic,ShowInWardrobe,True,False,Leggings,,Light,0,https://render.guildwars2.com/file/2C10104F2A0D2CFB1D9DE7121ABC04729EB50AF7/61470.png
151,Feathered Vestments,Armor,Basic,ShowInWardrobe,True,False,Coat,,Light,0,https://render.guildwars2.com/file/162CBF22243191070B7824BFDE3C06A4161BA4C1/61467.png
152,Draconic Helm,Armor,Basic,ShowInWardrobe,True,False,Helm,,Heavy,0,https://render.guildwars2.com/file/0CDB4F0534D023449B6202B3566E23F4B8C10CE6/61565.png
153,Embroidered Mantle,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Light,0,https://render.guildwars2.com/file/AEEC0A9B6F2DFC7404D8F27CEE945D7DD72D2D21/218930.png
154,Student Mantle,Armor,Basic,ShowInWardrobe,True,False,Shoulders,,Light,0,https://render.guildwars2.com/file/E8645143CCBA75257E607194250170FBE5BB510C/61410.png
155,Embroidered Sandals,Armor,Basic,ShowInWardrobe,True,False,Boots,,Light,0,https://render.guildwars2.com/file/C1586F38466A72AF5A76E1B4FA2F7106BFB8C4F6/218925.png
156,Student Shoes,Armor,Basic,ShowInWardrobe,True,False,Boots,,Light,0,https://render.guildwars2.com/file/743BB95DCA0904DDBB35656AC0669A7FE9F204DF/61108.png
